Подкатегория;Наименование;Характеристики ;;;;;;;;;;;;;;;;;;;;;;Размер памятника в комплекте;;;Цена;Цена фацета
;;Материал;Цвет;Полировка;Высота;Вес;Объём;Размер;Срок изготовления;Размер фракции;Единица измерения;Форма;Высота пролёта;Высота столба;Обивка;Закрутки;Ручки несущие;Лакировка;Форма;Фурнитура;Ручная резьба;Отделка;Крышка;Стелла (в/ш/т);Тумба (в/ш/т);Цветник (в/ш/т);;
granit_econom;Ем 11 100 с БГП;гранит;светло-серый с плиткой;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12400;
granit_econom;Ем 18 100 с БГП;гранит;светло-серый с плиткой;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12400;
granit_econom;Ем 19 100 с БГП;гранит;светло-серый с плиткой;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12400;
granit_econom;Ем 21 100 с БГП;гранит;светло-серый с плиткой;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12400;
granit_econom;Ем 48 100 с БГП;гранит;светло-серый с плиткой;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12400;
granit_econom;Ем 23 100 с БГП;гранит;светло-серый с плиткой;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12400;
granit_econom;Ем 29 100 с БГП;гранит;светло-серый с плиткой;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12400;
granit_econom;Ем 39 100 с БГП;гранит;светло-серый с плиткой;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12400;
granit_econom;Ем 42 100 с БГП;гранит;светло-серый с плиткой;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12400;
granit_econom;Ем 41 100 с БГП;гранит;светло-серый с плиткой;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12400;
granit_econom;Ем 11 100 т;гранит;темно-серый;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;12600;
granit_econom;Ем 23 100 т;гранит;темно-серый;все стороны;112 см;100 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;13100;
